
2024/10/10 (16:31:32) | ===> btop++ v.1.4.0
2024/10/10 (16:31:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (16:32:07) | ===> btop++ v.1.4.0
2024/10/10 (16:32:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (19:41:53) | ===> btop++ v.1.4.0
2024/12/10 (19:41:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (20:16:28) | ===> btop++ v.1.4.0
2024/12/10 (20:16:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (19:11:17) | ===> btop++ v.1.4.0
2025/02/26 (19:11:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/26 (19:11:21) | WARNING: Failed to join _runner thread on exit!
